Crop,Area,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer,Pesticide,Year,Yield
Groundnut,18.01,1599.6,25.3,50.9,Sandy,216.1,49.8,2021,2.2
Sugarcane,11.67,1251.6,22.5,74.2,Black,56.6,59.3,2025,7.25
Sugarcane,17.37,802.5,29.4,84.6,Sandy,89.0,32.0,2018,6.77
Groundnut,13.55,1369.0,29.5,72.8,Sandy,107.5,26.3,2021,1.77
Rice,12.08,1792.9,31.1,57.2,Clay,218.4,39.0,2022,4.41
Soybean,17.06,1584.9,32.0,49.1,Loamy,162.4,45.0,2023,1.87
Maize,18.99,1664.4,28.5,51.1,Clay,233.5,19.8,2020,4.03
Chickpea,17.17,1085.2,31.9,69.2,Red,58.5,53.6,2023,1.96
Wheat,17.48,965.3,22.8,42.7,Clay,75.7,13.6,2021,3.62
Chickpea,3.72,1614.2,20.9,44.0,Sandy,204.1,12.3,2025,1.83
Rice,1.09,819.3,30.2,48.4,Clay,167.3,46.3,2016,4.43
Groundnut,8.66,1753.2,24.1,41.9,Clay,230.0,57.1,2020,2.62
Cotton,1.34,455.6,29.7,51.3,Sandy,121.1,8.0,2023,1.69
Rice,6.67,842.6,29.6,69.8,Sandy,152.8,41.8,2017,3.69
Sugarcane,19.93,1111.7,30.0,48.2,Black,45.0,15.0,2017,7.26
Maize,3.34,1410.0,30.7,58.8,Sandy,240.5,38.1,2024,3.86
Rice,13.58,1332.3,18.3,74.5,Black,155.5,9.2,2019,4.12
Rice,6.72,1343.2,28.6,53.5,Red,222.2,26.3,2016,4.38
Wheat,6.37,1509.4,26.0,70.5,Sandy,256.2,58.4,2020,3.4
Rice,11.41,1679.0,29.0,64.0,Clay,40.7,41.0,2016,3.24
Chickpea,3.83,571.6,26.2,76.2,Loamy,275.2,39.4,2022,2.7
Chickpea,1.95,1547.8,32.0,82.6,Sandy,248.4,20.1,2016,1.96
Wheat,17.17,1651.9,18.2,46.9,Clay,125.5,53.9,2024,3.08
Sugarcane,16.48,696.9,24.4,88.1,Sandy,257.3,42.0,2022,8.33
Groundnut,13.33,1525.8,19.8,74.8,Loamy,295.2,51.0,2016,2.57
Chickpea,4.44,962.7,23.7,41.4,Clay,165.6,30.3,2021,2.33
Chickpea,1.87,803.2,23.0,75.2,Red,239.6,35.4,2024,2.34
Sugarcane,10.86,1379.1,27.9,61.6,Clay,165.3,40.5,2025,8.5
Groundnut,3.82,1565.7,32.3,70.6,Loamy,207.3,11.1,2022,2.78
Wheat,15.28,882.9,23.3,53.9,Red,97.9,39.3,2021,2.9
Cotton,2.5,1049.7,27.2,44.4,Black,156.2,8.9,2022,2.38
Groundnut,8.83,1202.1,18.0,44.5,Red,290.4,39.0,2023,2.57
Cotton,13.44,1065.9,23.5,81.3,Clay,259.5,21.3,2024,2.35
Sugarcane,14.6,603.9,30.1,51.1,Sandy,132.3,38.8,2019,6.54
Sugarcane,14.34,511.8,20.6,47.0,Black,67.8,37.4,2018,7.33
Cotton,9.68,1504.9,29.5,45.4,Black,52.1,38.7,2025,2.16
Wheat,15.67,1058.2,28.5,87.8,Clay,290.6,2.3,2015,3.97
Chickpea,18.56,1504.5,32.6,74.6,Clay,229.9,9.4,2021,2.13
Sugarcane,10.58,969.3,33.7,85.8,Clay,111.1,57.9,2019,7.51
Groundnut,12.45,1646.7,26.2,82.2,Red,263.8,43.3,2023,2.57
Cotton,4.82,1292.6,22.6,57.3,Clay,295.1,39.7,2017,2.24
Sugarcane,14.5,1477.0,27.0,69.1,Black,215.3,53.8,2023,8.83
Soybean,17.67,1020.2,18.2,45.3,Black,77.8,40.9,2018,1.85
Soybean,13.98,647.7,19.0,79.2,Clay,235.9,3.9,2022,2.46
Wheat,12.71,1362.0,27.0,51.2,Red,141.1,31.6,2019,3.28
Groundnut,8.36,1741.5,33.6,55.6,Red,54.0,45.1,2018,1.78
Chickpea,16.77,1680.5,29.3,72.4,Red,182.1,37.0,2018,1.94
Wheat,4.55,684.6,26.2,58.9,Black,112.6,17.3,2017,3.58
Soybean,1.11,1079.5,33.0,42.0,Sandy,195.2,46.9,2025,1.67
Chickpea,16.01,1192.7,19.2,75.4,Red,97.2,12.7,2016,1.67
Maize,8.9,1175.0,19.5,51.1,Clay,212.5,21.2,2019,4.34
Chickpea,19.94,1562.0,33.7,40.4,Sandy,155.9,54.5,2024,2.03
Cotton,19.22,1371.4,23.1,85.8,Loamy,140.3,33.3,2019,2.47
Sugarcane,10.77,1136.8,25.8,54.8,Clay,123.3,6.8,2016,7.97
Maize,19.46,1494.0,26.5,71.3,Clay,214.3,46.9,2025,4.17
Groundnut,13.28,1718.7,30.0,47.7,Black,226.4,4.2,2016,2.59
Rice,4.38,790.1,19.1,81.1,Sandy,146.0,28.2,2021,3.59
Wheat,11.16,1315.9,27.9,77.8,Red,51.8,51.2,2020,2.93
Wheat,6.51,1375.9,27.7,54.1,Black,139.2,49.7,2015,3.32
Maize,15.19,1525.6,31.6,54.7,Clay,117.5,53.4,2025,3.66
Sugarcane,19.19,465.1,32.0,47.1,Loamy,41.3,36.6,2023,6.78
Cotton,15.22,1669.8,23.5,60.6,Red,77.0,12.7,2024,1.78
Soybean,4.69,694.8,30.8,82.6,Red,159.9,33.9,2019,1.84
Cotton,14.79,1107.7,23.3,46.4,Clay,66.0,37.9,2018,1.87
Sugarcane,10.23,893.3,28.6,74.7,Clay,187.0,23.1,2020,8.65
Sugarcane,5.68,749.1,29.8,61.8,Sandy,74.9,44.5,2022,6.29
Chickpea,9.46,1495.9,25.8,45.4,Red,61.3,18.3,2017,1.84
Wheat,14.82,1654.3,31.6,71.6,Red,190.5,46.6,2018,3.22
Rice,11.48,1183.7,34.0,63.6,Clay,135.1,15.0,2024,4.02
Chickpea,10.52,572.2,23.8,40.5,Clay,260.5,48.8,2024,2.2
Maize,15.39,639.5,20.5,68.3,Red,211.4,58.1,2022,4.07
Chickpea,5.4,806.9,21.7,73.4,Red,276.0,23.0,2022,2.31
Chickpea,17.75,503.9,28.4,45.2,Red,204.7,17.9,2019,1.89
Groundnut,13.42,943.2,28.5,81.8,Red,105.4,58.4,2018,2.12
Groundnut,7.71,1621.4,25.8,64.1,Red,41.7,53.2,2022,1.94
Soybean,5.02,702.3,23.8,75.9,Loamy,211.9,26.0,2020,2.34
Wheat,10.15,1096.4,21.4,48.1,Black,45.8,4.5,2024,3.09
Rice,17.93,648.3,20.7,86.1,Red,289.1,36.8,2024,4.48
Rice,17.69,1432.8,31.1,87.4,Clay,156.8,59.6,2022,4.24
Maize,16.1,1557.6,20.9,73.0,Sandy,83.6,41.8,2022,3.35
Wheat,5.37,970.4,19.7,50.1,Red,217.9,49.9,2024,3.86
Rice,17.68,1167.4,30.0,44.7,Clay,274.5,33.3,2015,4.99
Groundnut,10.92,950.0,18.7,66.5,Clay,284.0,30.0,2021,2.59
Wheat,9.08,793.6,30.3,85.5,Loamy,113.6,52.9,2021,3.78
Soybean,4.59,1407.4,30.6,68.9,Loamy,175.1,23.8,2018,2.06
Sugarcane,3.03,1025.2,27.4,53.1,Red,150.1,23.2,2019,7.82
Groundnut,15.34,1007.9,30.5,64.1,Sandy,185.4,30.1,2019,1.99
Groundnut,14.98,1604.2,28.5,77.4,Black,243.6,57.1,2016,2.52
Cotton,10.66,1511.2,30.8,70.7,Loamy,81.8,57.9,2015,2.13
Chickpea,18.59,1037.8,19.0,51.1,Loamy,198.3,44.0,2021,2.06
Soybean,14.52,1256.6,33.1,81.0,Black,154.1,13.7,2025,2.23
Cotton,1.64,1259.3,26.3,51.6,Clay,215.2,22.9,2025,2.32
Rice,19.54,567.2,22.4,60.0,Black,145.4,13.6,2015,4.2
Wheat,11.44,1430.3,26.9,69.1,Sandy,290.5,18.0,2024,3.45
Cotton,9.64,995.3,18.1,48.8,Red,67.7,6.2,2019,1.84
Soybean,17.65,1547.7,27.2,74.7,Black,186.4,46.7,2020,2.18
Chickpea,13.95,1660.3,31.8,64.1,Sandy,57.6,38.8,2018,1.45
Sugarcane,8.84,926.7,26.6,75.0,Sandy,104.5,7.4,2025,6.75
Sugarcane,2.44,1707.4,25.6,57.7,Red,110.0,56.9,2025,7.04
Cotton,5.46,776.8,22.2,51.5,Clay,257.4,22.6,2016,2.45
Wheat,18.48,1362.3,28.6,70.7,Red,289.1,51.2,2020,3.68
Soybean,10.33,1778.9,32.7,54.0,Clay,235.0,9.4,2023,1.87
Groundnut,10.09,1180.0,26.0,59.7,Clay,158.9,9.0,2023,2.22
Rice,13.81,962.2,19.6,58.1,Sandy,88.7,17.2,2019,3.5
Chickpea,19.21,913.2,20.9,61.2,Black,222.2,23.6,2021,2.39
Maize,19.61,1376.1,31.0,76.0,Clay,184.4,51.7,2018,4.17
Maize,16.2,1447.0,25.6,40.5,Black,169.9,59.7,2025,3.92
Chickpea,6.7,1208.9,27.1,59.9,Clay,55.6,49.2,2022,1.83
Wheat,9.55,901.8,23.8,68.0,Sandy,129.5,25.9,2020,3.38
Cotton,11.96,1327.3,26.6,89.0,Sandy,132.3,41.0,2022,1.56
Chickpea,17.9,964.4,22.6,71.6,Clay,265.7,39.2,2020,2.26
Groundnut,17.13,546.3,20.6,51.4,Sandy,209.8,43.2,2024,2.3
Groundnut,6.15,1050.6,31.8,58.2,Red,175.4,28.1,2017,2.42
Cotton,13.58,1719.6,29.2,44.0,Clay,143.2,7.5,2022,2.07
Rice,1.5,986.0,30.2,44.2,Sandy,200.7,6.9,2021,3.99
Soybean,9.42,620.7,26.4,48.5,Loamy,212.5,51.9,2020,2.41
Chickpea,9.88,1625.7,33.0,67.4,Clay,292.1,42.5,2017,2.08
Groundnut,10.95,1313.4,23.0,57.4,Red,99.1,7.2,2019,2.02
Sugarcane,8.83,660.2,18.2,66.2,Clay,129.4,29.2,2015,7.39
Chickpea,6.69,1483.9,30.8,69.9,Loamy,182.5,12.9,2023,2.03
Groundnut,8.5,670.4,29.8,59.5,Black,97.4,6.6,2025,2.3
Soybean,6.41,1453.0,30.9,60.6,Loamy,87.4,18.8,2025,2.17
Chickpea,12.74,817.4,28.0,49.4,Loamy,79.6,58.2,2015,2.08
Soybean,3.38,1041.9,18.1,44.5,Loamy,168.3,21.8,2019,2.24
Chickpea,19.96,1076.0,30.7,56.5,Clay,54.6,47.0,2016,1.75
Soybean,16.53,1568.1,20.0,78.4,Clay,140.0,58.5,2018,1.82
Rice,4.78,1442.7,19.5,73.3,Clay,162.9,41.5,2019,4.17
Rice,15.15,1191.9,20.0,64.1,Sandy,91.7,53.5,2025,3.34
Cotton,19.49,768.6,24.9,40.8,Sandy,192.0,25.0,2018,2.12
Chickpea,14.08,659.2,30.3,52.4,Black,63.8,37.9,2025,1.9
Rice,2.14,1320.2,29.2,79.6,Clay,166.8,20.4,2023,4.31
Chickpea,14.93,478.8,24.0,76.2,Sandy,273.7,30.1,2022,1.78
Soybean,11.31,1111.6,27.1,67.2,Sandy,230.4,18.0,2024,2.2
Wheat,11.09,1056.7,31.1,67.1,Black,40.2,39.0,2021,3.03
Maize,17.78,1286.6,23.8,71.0,Sandy,227.5,40.2,2023,3.93
Chickpea,15.55,658.1,22.5,60.5,Sandy,68.7,32.3,2016,1.52
Rice,16.87,625.2,32.0,50.1,Black,89.8,3.8,2025,4.02
Soybean,1.93,748.0,29.5,40.7,Clay,210.5,55.8,2016,1.92
Chickpea,16.22,531.9,26.9,86.9,Black,253.7,48.1,2015,2.49
Rice,14.95,1576.5,19.2,50.8,Red,65.3,44.1,2023,3.22
Groundnut,4.6,1160.4,22.0,71.3,Clay,185.2,34.4,2016,2.55
Chickpea,14.35,1026.6,19.7,79.6,Red,144.4,21.6,2017,1.79
Chickpea,18.74,1668.4,26.8,89.8,Sandy,147.2,38.7,2020,1.58
Cotton,8.13,1192.8,29.9,58.0,Black,156.3,25.0,2015,2.16
Soybean,12.32,1148.8,33.9,55.1,Sandy,295.9,14.5,2020,2.34
Soybean,18.46,1140.2,27.1,68.6,Loamy,49.8,22.6,2017,1.93
Soybean,7.97,1235.9,21.7,80.6,Loamy,188.3,35.0,2018,2.18
Chickpea,4.29,1564.7,29.0,68.8,Loamy,194.8,19.4,2024,1.96
Groundnut,2.49,525.5,30.3,57.4,Black,148.3,52.3,2018,2.39
Rice,13.04,1303.5,18.9,66.2,Sandy,180.4,10.7,2023,3.38
Cotton,3.91,1359.4,34.0,88.6,Red,189.6,7.2,2021,2.08
Maize,7.39,1092.4,29.9,67.4,Sandy,62.1,31.1,2017,3.34
Maize,10.14,717.4,24.3,68.6,Red,200.2,44.7,2018,4.11
Groundnut,7.14,1697.6,19.4,73.6,Black,135.0,13.0,2020,2.39
Rice,15.62,678.5,23.6,81.1,Black,202.0,27.5,2018,4.68
Wheat,3.14,523.6,33.2,86.3,Sandy,43.6,42.2,2016,2.68
Soybean,9.55,480.7,21.3,66.9,Clay,182.1,45.5,2023,1.7
Maize,14.21,1352.2,24.0,85.3,Red,51.3,11.9,2019,3.34
Cotton,15.99,1284.3,18.8,72.7,Loamy,57.3,40.3,2025,2.14
Wheat,1.36,1621.0,28.4,51.6,Black,172.2,43.2,2020,3.35
